company,vacancy,apply_link,location,function,schedule,deadline,responsibilities,requirements,description,scrape_date
Xalq Bank,Məsafədən Bankçılıq İdarəsinin Çağrı mərkəzi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-mesafeden-bankciliq-idaresinin-cagri-merkezi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,İnsan Resursları və İşlər İdarəsinin Katibliyinin / Bakı filiallarının katib - referenti,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-insan-resurslari-ve-isler-idaresinin-katibliyinin-baki-filiallarinin-katib-refere/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Kredit İdarəsinin Layihə maliyyələşdirilməsi kreditlərinin təhlili və nəzarət şöbəsinin mütəxəssisi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-kredit-idaresinin-layihe-maliyyelesdirilmesi-kreditlerinin-tehlili-ve-nezaret-sob/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Kredit İdarəsinin Kredit portfelinin keyfiyyətinə nəzarət şöbəsi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-kredit-idaresinin-kredit-portfelinin-keyfiyyetine-nezaret-sobesi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Kredit İdarəsinin Korporativ kreditlərin təhlili şöbəsi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-kredit-idaresinin-korporativ-kreditlerin-tehlili-sobesi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Kredit İdarəsinin İpoteka kreditlərinin təhlili şöbəsinin mütəxəssisi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-kredit-idaresinin-ipoteka-kreditlerinin-tehlili-sobesinin-mutexessisi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Nağdsız Ödənişlər və Hesablaşmalar İdarəsinin Klirinq və hesablaşmalar şöbəsi üzrə mütəxəssis,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-nagdsiz-odenisler-ve-hesablasmalar-idaresinin-klirinq-ve-hesablasmalar-sobesi-uzr/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,"""Göyçay” filialının katib-referenti",https://jobs.glorri.az/vacancies/xalqbank/xalqbank-goycay-filialinin-katib-referenti-9369/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,Biznesin İnkişafı İdarəsinin Pərakəndə bankçılıq şöbəsi (İpoteka istiqaməti üzrə),https://jobs.glorri.az/vacancies/xalqbank/xalqbank-biznesin-inkisafi-idaresinin-perakende-bankciliq-sobesi-ipoteka-istiqameti-uzre-5882/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,İnsan Resursları və İşlər İdarəsinin Kadrlar şöbəsinin mütəxəssisi,https://jobs.glorri.az/vacancies/xalqbank/xalqbank-insan-resurslar-v-ilr-idarsinin-kadrlar-bsinin-mtxssisi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,"İnsan Resursları və İşlər İdarəsinin İşəqəbul, karyera inkişafı və təlim şöbəsinin mütəxəssisi",https://jobs.glorri.az/vacancies/xalqbank/xalqbank-insan-resurslar-v-ilr-idarsinin-iqbul-karyera-inkiaf-v-tlim-bsinin-mtxssisi/apply,,,,,,,,2025-02-06 20:01:11.075345
Xalq Bank,İnformasiya Texnologiyaları İdarəsinin Şəbəkənin idarə edilməsi şöbəsinin mütəxəssisi –  (Cisco),https://jobs.glorri.az/vacancies/xalqbank/xalqbank-informasiya-texnologiyalar-idarsinin-bknin-idar-edilmsi-bsinin-mtxssisi-cisco/apply,,,,,,,,2025-02-06 20:01:11.075345
